username,repo_name,stars,repo_url
bregman-arie,devops-exercises,59900,https://github.com/bregman-arie/devops-exercises
localstack,localstack,50500,https://github.com/localstack/localstack
ByteByteGoHq,system-design-101,49800,https://github.com/ByteByteGoHq/system-design-101
serverless,serverless,45400,https://github.com/serverless/serverless
donnemartin,data-science-ipython-notebooks,25900,https://github.com/donnemartin/data-science-ipython-notebooks
sst,sst,18600,https://github.com/sst/sst
pulumi,pulumi,18500,https://github.com/pulumi/pulumi
kubernetes-sigs,kubespray,14800,https://github.com/kubernetes-sigs/kubespray
aws,aws-cli,14500,https://github.com/aws/aws-cli
ramitsurana,awesome-kubernetes,14400,https://github.com/ramitsurana/awesome-kubernetes
getsops,sops,14400,https://github.com/getsops/sops
donnemartin,awesome-aws,11900,https://github.com/donnemartin/awesome-aws
caprover,caprover,11400,https://github.com/caprover/caprover
GoogleCloudPlatform,terraformer,11100,https://github.com/GoogleCloudPlatform/terraformer
aws,aws-cdk,10800,https://github.com/aws/aws-cdk
apereo,cas,10500,https://github.com/apereo/cas
aws,chalice,10100,https://github.com/aws/chalice
infracost,infracost,9800,https://github.com/infracost/infracost
aws-amplify,amplify-js,9300,https://github.com/aws-amplify/amplify-js
google,go-cloud,9300,https://github.com/google/go-cloud
