username,repo_name,stars,repo_url
Genymobile,scrcpy,95600,https://github.com/Genymobile/scrcpy
neovim,neovim,71900,https://github.com/neovim/neovim
obsproject,obs-studio,52900,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,52100,https://github.com/fffaraz/awesome-cpp
git,git,48300,https://github.com/git/git
FFmpeg,FFmpeg,39900,https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,37900,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,33700,https://github.com/vim/vim
curl,curl,32700,https://github.com/curl/curl
huihut,interview,31400,https://github.com/huihut/interview
ggreer,the_silver_searcher,25400,https://github.com/ggreer/the_silver_searcher
mpv-player,mpv,24400,https://github.com/mpv-player/mpv
ossrs,srs,23300,https://github.com/ossrs/srs
google,flatbuffers,21500,https://github.com/google/flatbuffers
ruby,ruby,21100,https://github.com/ruby/ruby
kovidgoyal,kitty,20600,https://github.com/kovidgoyal/kitty
microsoft,vcpkg,20400,https://github.com/microsoft/vcpkg
radareorg,radare2,19000,https://github.com/radareorg/radare2
hashcat,hashcat,18900,https://github.com/hashcat/hashcat
jarun,nnn,17500,https://github.com/jarun/nnn
